Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/72446205/salvage-2013-toyota-camry-se-oh-akron,72446205,0 USD,05/05/2026 03:00 pm GMT+1,2013,TOYT,CAMRY,2.5L 4,4,4T1BF1FK0DU******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,1141,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/51872536/clean-title-2012-acura-mdx-technology-oh-akron,51872536,"2,600 USD",05/05/2026 03:00 pm GMT+1,2012,ACUR,MDX,3.7L 6,6,2HNYD2H39CH******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,1131,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/51828036/clean-title-2004-chev-colorado-oh-akron,51828036,0 USD,05/05/2026 03:00 pm GMT+1,2004,CHEV,COLORADO,3.5L 5,5,1GCCS136848******,CERTIFICATE OF TITLE,"139,399 A",ACTUAL,REAR END,90 USD,0 USD,52,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/51650316/clean-title-2020-big-tex-16'-utilit-oh-akron,51650316,"3,126 USD",05/05/2026 03:00 pm GMT+1,2020,BXBO,16' UTILIT,,,16V1U2028M2******,BILL OF SALE,0 E,EXEMPT,BURN,50 USD,0 USD,877,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/51341226/salvage-2014-ford-escape-titanium-oh-akron,51341226,"3,551 USD",05/05/2026 03:00 pm GMT+1,2014,FORD,ESCAPE,1.6L 4,4,1FMCU0JXXEU******,CERT OF TITLE-SALVAGE,"171,589 A",ACTUAL,FRONT END,90 USD,0 USD,9,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/51281896/salvage-2020-lexus-nx-300-oh-akron,51281896,"20,847 USD",05/05/2026 03:00 pm GMT+1,2020,LEXS,NX,2.0L 4,4,JTJGARDZ7L5******,CERT OF TITLE-SALVAGE,"48,714 A",ACTUAL,HAIL,"5,000 USD",0 USD,48,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/51141696/salvage-2017-toyota-rav4-platinum-oh-akron,51141696,"13,503 USD",05/05/2026 03:00 pm GMT+1,2017,TOYT,RAV4,2.5L 4,4,2T3DFREV2HW******,CERT OF TITLE-SALVAGE,"131,480 A",ACTUAL,REAR END,100 USD,0 USD,30,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/51103766/salvage-2015-nissan-rogue-sl-oh-akron,51103766,"6,781 USD",05/05/2026 03:00 pm GMT+1,2015,NISS,ROGUE,2.5L 4,4,5N1AT2MV5FC******,CERT OF TITLE-SALVAGE,"160,356 A",ACTUAL,FRONT END,0 USD,0 USD,1102,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50986466/clean-title-2018-ford-escape-se-oh-akron,50986466,0 USD,05/05/2026 03:00 pm GMT+1,2018,FORD,ESCAPE,1.5L 4,4,1FMCU0GD3JU******,CERTIFICATE OF TITLE (P),"86,893 A",ACTUAL,MECHANICAL,0 USD,0 USD,1140,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50986186/clean-title-2018-nissan-murano-sl-oh-akron,50986186,0 USD,05/05/2026 03:00 pm GMT+1,2018,NISS,MURANO,3.5L 6,6,5N1AZ2MH5JN******,CERT OF TITLE-REPOSSESSION (P),"161,334 A",ACTUAL,REAR END,0 USD,0 USD,2,OH - AKRON,0,N/A,N/A
