Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/47972956/salvage-2009-toyota-yaris-base-ct-hartford,47972956,"6,923 USD",04/21/2026 03:00 pm GMT+1,2009,TOYT,YARIS,1.5L 4,4,JTDBT923X94******,CERT OF TITLE-SALVAGE,"69,185 A",ACTUAL,BIOHAZARD/CHEMICAL,"1,150 USD",0 USD,38,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47969956/salvage-2019-gmc-yukon-denali-ct-hartford,47969956,"34,721 USD",04/21/2026 03:00 pm GMT+1,2019,GMC,YUKON,6.2L 8,8,1GKS2CKJ9KR******,CERT OF TITLE-SALVAGE,"83,300 A",ACTUAL,FRONT END,"3,450 USD",0 USD,2095,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47941976/clean-title-2006-toyota-rav4-base-ct-hartford,47941976,"2,700 USD",04/21/2026 03:00 pm GMT+1,2006,TOYT,RAV4,2.4L 4,4,JTMBD33V266******,CERTIFICATE OF TITLE,"238,999 A",ACTUAL,FRONT END,450 USD,0 USD,2083,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47939656/salvage-2012-toyota-prius-c-three-ct-hartford,47939656,"7,594 USD",04/21/2026 03:00 pm GMT+1,2012,TOYT,PRIUS C,1.5L 4,4,JTDKDTB31C1******,CERT OF TITLE-SALVAGE,"163,502 A",ACTUAL,REAR END,450 USD,0 USD,36,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47883266/salvage-2015-chevrolet-silverado-k1500-ct-hartford,47883266,"15,916 USD",04/21/2026 03:00 pm GMT+1,2015,CHEV,SILVERADO,4.3L 6,6,1GCVKPEH6FZ******,CERT OF TITLE-SALVAGE,"84,986 A",ACTUAL,FRONT END,875 USD,0 USD,2001,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47879006/clean-title-2006-toyota-corolla-le-ct-hartford,47879006,"3,100 USD",04/21/2026 03:00 pm GMT+1,2006,TOYT,COROLLA,1.8L 4,4,2T1BR32E46C******,CERTIFICATE OF TITLE,"299,999 A",ACTUAL,SIDE,450 USD,0 USD,2255,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47843216/clean-title-2015-chevrolet-silverado-k1500-lt-ct-hartford,47843216,0 USD,04/21/2026 03:00 pm GMT+1,2015,CHEV,SILVERADO,5.3L 8,8,1GCVKREC7FZ******,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,2024,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47824966/salvage-2018-subaru-crosstrek-limited-ct-hartford,47824966,"15,391 USD",04/21/2026 03:00 pm GMT+1,2018,SUBA,CROSSTREK,2.0L 4,4,JF2GTALC3JH******,CERT OF TITLE-SALVAGE,"119,763 A",ACTUAL,FRONT END,475 USD,0 USD,124,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47807786/salvage-2011-ford-focus-se-ct-hartford,47807786,"6,054 USD",04/21/2026 03:00 pm GMT+1,2011,FORD,FOCUS,2.0L 4,4,1FAHP3FN0BW******,CERT OF TITLE-SALVAGE,"90,709 A",ACTUAL,FRONT END,450 USD,0 USD,161,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47763596/clean-title-2012-subaru-outback-2-5i-limited-ct-hartford,47763596,0 USD,04/21/2026 03:00 pm GMT+1,2012,SUBA,OUTBACK,2.5L 4,4,4S4BRBKC1C3******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,450 USD,0 USD,71,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47761616/salvage-2022-ford-f150-raptor-ct-hartford,47761616,"81,695 USD",04/21/2026 03:00 pm GMT+1,2022,FORD,F150,3.5L 6,6,1FTFW1RG3NF******,SALVAGE CERTIFICATE OF TITLE,"26,389 A",ACTUAL,FRONT END,0 USD,0 USD,14,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47754116/clean-title-2008-porsche-boxster-s-ct-hartford,47754116,0 USD,04/21/2026 03:00 pm GMT+1,2008,PORS,BOXSTER,3.4L 6,6,WP0CB298X8U******,SALVAGE CERT-REBUILT,"49,590 E",EXEMPT,NORMAL WEAR,"7,900 USD",0 USD,118,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47748636/salvage-2009-niss-altima-2-5-ct-hartford,47748636,"4,678 USD",04/21/2026 03:00 pm GMT+1,2009,NISS,ALTIMA,2.5L 4,4,1N4AL21E09C******,CERT OF TITLE-SALVAGE,0 E,EXEMPT,FRONT END,450 USD,0 USD,2049,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47718126/clean-title-2008-chevrolet-silverado-k1500-ct-hartford,47718126,"17,000 USD",04/21/2026 03:00 pm GMT+1,2008,CHEV,SILVERADO,5.3L 8,8,2GCEK13MX81******,CERTIFICATE OF TITLE,"254,201 A",ACTUAL,ALL OVER,475 USD,0 USD,2507,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47703256/salvage-2015-volvo-xc60-t6-premier-ct-hartford,47703256,"7,960 USD",04/21/2026 03:00 pm GMT+1,2015,VOLV,XC60,3.0L 6,6,YV4902RK7F2******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,450 USD,0 USD,2047,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47598296/clean-title-2012-hyundai-sonata-gls-ct-hartford,47598296,0 USD,04/21/2026 03:00 pm GMT+1,2012,HYUN,SONATA,2.4L 4,4,5NPEB4ACXCH******,CERTIFICATE OF TITLE,"72,577 A",ACTUAL,VANDALISM,600 USD,0 USD,140,CT - HARTFORD,2.8,N/A,N/A
https://www.copart.com/lot/47588686/salvage-2019-tesla-model-3-ct-hartford,47588686,"16,878 USD",04/21/2026 03:00 pm GMT+1,2019,TESL,MODEL 3,,,5YJ3E1EA8KF******,CERT OF TITLE-SALVAGE,"58,794 A",ACTUAL,FRONT END,"3,100 USD",0 USD,2028,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47554086/salvage-2016-kia-soul-+-ct-hartford,47554086,"11,346 USD",04/21/2026 03:00 pm GMT+1,2016,KIA,SOUL,2.0L 4,4,KNDJP3A59G7******,CERT OF TITLE-SALVAGE,"60,678 A",ACTUAL,VANDALISM,475 USD,0 USD,2027,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47525256/clean-title-2017-mazda-3-sport-ct-hartford,47525256,"6,050 USD",04/21/2026 03:00 pm GMT+1,2017,MAZD,3,2.0L 4,4,3MZBN1U74HM******,CERTIFICATE OF TITLE,"206,968 A",ACTUAL,FRONT END,450 USD,0 USD,2319,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47507016/salvage-2014-bmw-328-xi-sulev-ct-hartford,47507016,"8,926 USD",04/21/2026 03:00 pm GMT+1,2014,BMW,328,2.0L 4,4,WBA3B5C52EP******,CERT OF TITLE-SALVAGE,"100,454 A",ACTUAL,FRONT END,475 USD,0 USD,2515,CT - HARTFORD,0,N/A,N/A
